,Unnamed: 0,user_id,username,date,Tweet
21,21,1099666266149683202,elvina,Tue Mar 05 03:09:28 +0000 2019,"['tubirfess', 'plis', 'bisa', 'gk', 'gausa', 'ngetiknya', 'indon', 'tolol', 'dasar']"
22,22,485603876,dotsie,Tue Mar 05 03:08:51 +0000 2019,"['rt', 'ahjusi', 'uusbiasaaja', 'agama', 'ku', 'asik', 'cuman', 'orang', 'nya', 'aja', 'banyak', 'yang', 'tolol']"
23,23,1407927332,ranau,Tue Mar 05 03:08:15 +0000 2019,"['setolol', 'tololnya', 'orang', 'bodoh', 'ternyata', 'adalah', 'sebodoh', 'bodohnya', 'orang', 'tolol']"
24,24,1095151107603521536,susi imroatul,Tue Mar 05 03:07:47 +0000 2019,"['melaniesaswito', 'rajapurwa', 'yolandaali85', 'tolol', 'ketulang2', 'terbutakan', 'oleh', 'pencitraan']"
25,25,860111289506422785,chan [semi hiatus],Tue Mar 05 03:07:29 +0000 2019,"['askmenfess', 'tolol']"
26,26,1020731658176102400,🍑,Tue Mar 05 03:06:51 +0000 2019,"['rt', 'ahjusi', 'uusbiasaaja', 'agama', 'ku', 'asik', 'cuman', 'orang', 'nya', 'aja', 'banyak', 'yang', 'tolol']"
27,27,1248726242,PASreddy,Tue Mar 05 03:05:52 +0000 2019,"['rt', 'helmifelis', 'cebong', 'ngerti', 'bahasa', 'inggris', 'kan', 'mayoritas', 'pendukungnya', 'tolol', 'ini', 'yang', 'gue', 'omongin', '3', 'tahun', 'lalu', 'di', 'fb', 'sekarang', 'ada', 'nih', 'i…']"
28,28,316424774,nizwar,Tue Mar 05 03:05:08 +0000 2019,"['rt', 'halleluhellyeah', 'ngarep', 'pengen', 'punya', 'pacar', 'yang', 'religius', 'itu', 'tolol', 'sebab', 'kalo', 'beneran', 'religius', 'mana', 'mau', 'di', 'ajak', 'pacaran', 'karena', 'agama', 'm…']"
29,29,1064408260868861954,Kemiskinan,Tue Mar 05 03:04:56 +0000 2019,"['santiknya', 'saking', 'cintanya', 'sampe', 'jadi', 'bego', 'tolol', 'goblok', 'bucin', 'mengalir', 'di', 'dna']"
30,30,1356823548,Ipan☝️,Tue Mar 05 03:04:34 +0000 2019,"['botmarah', 'harusnya', 'yg', 'ini', 'ditaro', 'di', 'bio', 'tolol']"
